Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Morning Star Travels,A/C Sleeper (2+1),21:30,08h 15m,05:45,2.8,INR 990,30 Seats available
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Prasanna Travels,A/C Seater / Sleeper (2+1),22:45,07h 30m,06:15,3.6,INR 800,34 Seats available
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Pavan Tours and Travels,VE A/C Sleeper (2+1),22:30,06h 45m,05:15,4.0,980,21 Seats available
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur,FRESHBUS,Electric A/C Seater (2+2),16:10,08h 25m,00:35,4.0,679,4 Seats available
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur,AVR Travels,A/C Seater / Sleeper (2+1),23:15,07h 00m,06:15,2.4,INR 699,29 Seats available
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur,AVR Travels,A/C Seater / Sleeper (2+1),23:00,07h 15m,06:15,1.3,INR 799,29 Seats available
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Prasanna Travels,A/C Seater / Sleeper (2+1),23:10,08h 00m,07:10,2.6,INR 800,33 Seats available
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur,SRI MARUTHI TRAVELS,Non A/C Seater / Sleeper (2+1),21:40,07h 20m,05:00,1.5,INR 699,6 Seats available
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Sri Sai Padmavathi Travels,A/C Seater/Sleeper (2+1),23:40,06h 20m,06:00,4.0,INR 800,20 Seats available
Hyderabad to Guntur (Andhra Pradesh),https://www.redbus.in/bus-tickets/hyderabad-to-guntur,Sai RK Travels,A/C Seater / Sleeper (2+1),23:00,07h 15m,06:15,1.0,INR 800,23 Seats available
Godavarikhani to Hyderabad,https://www.redbus.in/bus-tickets/godavarikhani-to-hyderabad,Morning Star Travels,Volvo Multi Axle B9R A/C Sleeper (2+1),16:30,05h 25m,21:55,1.0,INR 600,28 Seats available
Godavarikhani to Hyderabad,https://www.redbus.in/bus-tickets/godavarikhani-to-hyderabad,Orange Tours And Travels,Scania AC Multi Axle Sleeper (2+1),17:00,04h 40m,21:40,2.9,INR 600,25 Seats available
Hyderabad to Kothagudem,https://www.redbus.in/bus-tickets/hyderabad-to-kothagudem,BSR Tours And Travels,A/C Sleeper (2+1),22:00,06h 30m,04:30,4.7,INR 1280,11 Seats available
